Random number¡G   Random number¡G   Result¡G 
     41                45            86
     18467             29216         47683
     6334              24198         30532
     26500             17795         44295
     19169             29484         48653
     15724             19650         35374
     11478             14590         26068
     29358             26431         55789
     26962             10705         37667
     24464             18316         42780
     5705              5557          11262
     28145             28189         56334
     23281             12652         35933
     16827             606           17433
     9961              32153         42114
     491               17829         18320
     2995              29813         32808
     11942             30367         42309
     4827              6658          11485
     5436              28961         34397
     32391             11039         43430
     14604             30085         44689
     3902              18917         22819
     153               7167          7320
     292               14895         15187
     12382             23440         35822
     17421             5962          23383
     18716             2424          21140
     19718             29711         49429
     19895             7512          27407
